# Parameter type          : 'brickwall'
# Order                   : 40
# Filter type        : 'bandstop'
# Sampling frequency : 100 Hz
# Cutoff 1           : 15 Hz
# Cutoff 2           : 35 Hz
# Feedforward parameters : 41 (multiplied with inputs x)
# Feedback parameters : 1 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * 1.54401353539219e-017)
#     + (x[n-  1] * -0.000323724918319279)
#     + (x[n-  2] * -0.0343130159130894)
#     + (x[n-  3] * -0.000138199200003488)
#     + (x[n-  4] * 0.0238574363521559)
#     + (x[n-  5] * 0.000506851606400738)
#     + (x[n-  6] * 0.027265641545321)
#     + (x[n-  7] * -0.000180722030774006)
#     + (x[n-  8] * -0.0514695238696341)
#     + (x[n-  9] * -0.000559161222551518)
#     + (x[n- 10] * -1.54401353539219e-017)
#     + (x[n- 11] * 0.000683419272007456)
#     + (x[n- 12] * 0.0772042858044511)
#     + (x[n- 13] * 0.000335626628580108)
#     + (x[n- 14] * -0.0636198302724157)
#     + (x[n- 15] * -0.00152055481920221)
#     + (x[n- 16] * -0.0954297454086236)
#     + (x[n- 17] * 0.000783128800020377)
#     + (x[n- 18] * 0.308817143217804)
#     + (x[n- 19] * 0.00615077344806658)
#     + (x[n- 20] * 0.603900341959611)
#     + (x[n- 21] * 0.00615077344806658)
#     + (x[n- 22] * 0.308817143217804)
#     + (x[n- 23] * 0.000783128800020377)
#     + (x[n- 24] * -0.0954297454086236)
#     + (x[n- 25] * -0.00152055481920221)
#     + (x[n- 26] * -0.0636198302724157)
#     + (x[n- 27] * 0.000335626628580108)
#     + (x[n- 28] * 0.0772042858044511)
#     + (x[n- 29] * 0.000683419272007456)
#     + (x[n- 30] * -1.54401353539219e-017)
#     + (x[n- 31] * -0.000559161222551518)
#     + (x[n- 32] * -0.0514695238696341)
#     + (x[n- 33] * -0.000180722030774006)
#     + (x[n- 34] * 0.027265641545321)
#     + (x[n- 35] * 0.000506851606400738)
#     + (x[n- 36] * 0.0238574363521559)
#     + (x[n- 37] * -0.000138199200003488)
#     + (x[n- 38] * -0.0343130159130894)
#     + (x[n- 39] * -0.000323724918319279)
#     + (x[n- 40] * 1.54401353539219e-017)
#
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
 75        0                         0      100                       100    0.425          1.03312855336172                       180
 76        0                         0      100                       100     0.43          1.02689863653599                      -144
 77        0                         0      100                       100    0.435          1.01129893242119                      -108
 78        0                         0      100                       100     0.44         0.990897278457173         -72.0000000000002
 79        0                         0      100                       100    0.445         0.978524131669839         -35.9999999999999
 80        0                         0      100                       100     0.45         0.973228224071071    -9.47733362855599e-014
 81        0                         0      100                       100    0.455         0.978295915795119          36.0000000000002
 82        0                         0      100                       100     0.46         0.989275103349519                        72
 83        0                         0      100                       100    0.465          1.00683031577349                       108
 84        0                         0      100                       100     0.47          1.01918302287621                       144
 85        0                         0      100                       100    0.475          1.02382267733126                       180
 86        0                         0      100                       100     0.48          1.01726610408294                      -144
 87        0                         0      100                       100    0.485          1.00750173310385                      -108
 88        0                         0      100                       100     0.49         0.993073320398607         -72.0000000000002
 89        0                         0      100                       100    0.495         0.981469409476766         -35.9999999999999
 90        0                         0      100                       100      0.5     2.58271686379522e-012    -1.40329551277853e-013
